s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
1.0,0.0,matched_redundancy,capacity_reduction,0.75,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,baseline,blocked,,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,baseline,capacity_reduction,0.25,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,baseline,capacity_reduction,0.5,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,baseline,capacity_reduction,0.75,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,matched_redundancy,blocked,,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,matched_redundancy,capacity_reduction,0.25,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,matched_redundancy,capacity_reduction,0.5,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.25,matched_redundancy,capacity_reduction,0.75,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.5,baseline,blocked,,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.5,baseline,capacity_reduction,0.25,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.5,baseline,capacity_reduction,0.5,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.5,baseline,capacity_reduction,0.75,-29.999370228015437,0.0,30,-29.999370228015437,-29.999370228015437,30,0
1.0,0.5,matched_redundancy,blocked,,-29.597111943061837,2.203259366124286,30,-30.385538181570897,-28.808685704552776,30,0
1.0,0.5,matched_redundancy,capacity_reduction,0.25,-29.842632948015435,0.8584854385800363,30,-30.149838016815437,-29.535427879215433,30,0
1.0,0.5,matched_redundancy,capacity_reduction,0.5,-29.990150388015437,0.05049914344587961,30,-30.008221274415433,-29.97207950161544,30,0
1.0,0.5,matched_redundancy,capacity_reduction,0.75,-29.998042267521612,0.007273539179435294,30,-30.000645070089508,-29.995439464953716,30,0
1.0,1.0,baseline,blocked,,-96079.98699965834,365534.0636860003,30,-226884.67178166186,34724.69778234519,30,0
1.0,1.0,baseline,capacity_reduction,0.25,-31.923615656564817,10.155901636261975,30,-35.55785838298123,-28.2893729301484,30,0
1.0,1.0,baseline,capacity_reduction,0.5,-30.00472001171914,0.09589736619904038,30,-30.03903644349187,-29.97040357994641,30,0
1.0,1.0,baseline,capacity_reduction,0.75,-30.000140772993337,0.013812377847580711,30,-30.005083468927676,-29.995198077058998,30,0
1.0,1.0,matched_redundancy,blocked,,-29.7637786097285,2.4137926425399514,30,-30.627543213641804,-28.900014005815198,30,0
1.0,1.0,matched_redundancy,capacity_reduction,0.25,-30.009299614682103,1.2745108550021553,30,-30.465377466794422,-29.553221762569784,30,0
1.0,1.0,matched_redundancy,capacity_reduction,0.5,-29.990150388015437,0.05049914344587961,30,-30.008221274415433,-29.97207950161544,30,0
1.0,1.0,matched_redundancy,capacity_reduction,0.75,-29.998042267521612,0.007273539179435294,30,-30.000645070089508,-29.995439464953716,30,0
1.0,1.5,baseline,blocked,,-144105.48602835,439618.9074180508,30,-301421.0916634625,13210.119606762542,30,0
1.0,1.5,baseline,capacity_reduction,0.25,-32.17129925952778,10.197876040386335,30,-35.82056233355567,-28.522036185499886,30,0
1.0,1.5,baseline,capacity_reduction,0.5,-30.019289635422844,0.12410986563367236,30,-30.06370178046029,-29.9748774903854,30,0
1.0,1.5,baseline,capacity_reduction,0.75,-30.002239278465062,0.017875906572729416,30,-30.008636089478678,-29.995842467451446,30,0
1.0,1.5,matched_redundancy,blocked,,-29.528186991441565,2.716001214424695,30,-30.50009554392476,-28.55627843895837,30,0
